city,state,population,land_area_sq_mi,city_state,lat,lon,metro_population,msa_name,median_household_income,median_home_price,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
Fort Worth,TX,1008106,347.3,"Fort Worth, TX",32.753177,-97.332746,8344032.0,,72726.0,250300.0,67.7,19.8,76.9,58.6,94.0,40.5,10.2,48.4,19.8,Dallas/Fort Worth,1.7,Fort Worth Zoo TX,15.2,Six Flags Over Texas TX,275.7,Hot Springs NP,177.9,Sam Houston NF TX,none,287.5,640.0,0.0,2.0,243.7,Lost Maples SP TX,53.5,False,True,True,2,50.0,1,1,1,1,1,5,50.0,plains
San Jose,CA,997368,178.3,"San Jose, CA",37.336166,-121.890591,1995484.0,,136010.0,1149600.0,61.9,16.6,72.0,51.8,83.2,44.2,13.44,65.5,2.8,San Jose,33.2,Oakland Zoo CA,6.3,California's Great America CA,70.3,Pinnacles NP,136.7,Eldorado NF CA,ocean,20.4,112.0,4.0,39.0,57.7,Point Lobos SP CA,39.0,False,True,False,1,25.0,1,1,1,1,1,5,50.0,coastal
Austin,TX,993588,319.9,"Austin, TX",30.271129,-97.7437,2550637.0,,86556.0,461500.0,69.9,21.1,79.0,60.7,94.0,44.5,9.68,45.7,6.9,Austin-Bergstrom,71.0,San Antonio Zoo TX,69.6,Six Flags Fiesta Texas TX,224.4,Padre Island NS,137.1,Sam Houston NF TX,none,171.5,548.0,0.0,4.0,115.9,Lost Maples SP TX,49.5,False,True,True,2,50.0,0,0,0,0,1,1,10.0,plains
Charlotte,NC,943476,308.3,"Charlotte, NC",35.227209,-80.843083,2883370.0,,74070.0,312800.0,62.0,16.7,71.3,52.7,88.1,36.4,8.33,38.6,5.7,Charlotte Douglas,63.9,North Carolina Zoo NC,10.2,Carowinds NC,71.4,Blue Ridge Parkway,82.7,Sumter NF SC,none,175.8,833.0,4.0,33.0,64.7,Cheraw SP SC,51.7,False,True,True,2,50.0,1,0,1,0,1,3,30.0,hills
Columbus,OH,933263,220.0,"Columbus, OH",39.96226,-83.000707,2225377.0,"Columbus, OH MSA",62994.0,212500.0,53.6,12.0,62.5,44.8,82.0,24.9,9.16,42.9,6.3,Columbus Ohio,14.8,Columbus Zoo OH,80.0,Kings Island OH,118.1,Cuyahoga Valley NP,92.2,Wayne NF OH,none,107.3,758.0,1.0,13.5,161.2,McConnells Mill SP PA,57.1,True,True,True,4,100.0,0,0,0,1,1,2,20.0,plains
Indianapolis,IN,891484,361.6,"Indianapolis, IN",39.768333,-86.15835,2174833.0,,,,54.1,12.3,62.7,45.5,83.0,24.7,9.4,44.2,8.1,Indianapolis,1.4,Indianapolis Zoo IN,63.9,Indiana Beach IN,138.3,Indiana Dunes NP,102.1,Hoosier NF IN,none,150.7,722.0,0.0,9.0,135.7,Indiana Dunes SP IN,58.3,True,True,True,4,100.0,1,0,1,0,0,2,20.0,plains
San Francisco,CA,827526,46.9,"San Francisco, CA",37.787936,-122.40752,4648486.0,,136689.0,1348700.0,57.5,14.2,63.3,51.7,67.4,46.0,13.14,63.9,11.6,San Francisco,6.5,San Francisco Zoo CA,26.0,Six Flags Discovery Kingdom CA,31.5,Point Reyes NS,138.8,Eldorado NF CA,ocean,0.9,85.0,3.0,53.5,74.1,Salt Point SP CA,21.4,False,False,False,1,25.0,1,1,1,1,1,5,50.0,coastal
Seattle,WA,780995,83.8,"Seattle, WA",47.603832,-122.330062,4145494.0,,116068.0,879900.0,52.9,11.6,59.5,46.3,74.3,36.7,11.85,57.1,10.7,Seattle-Tacoma,4.6,Woodland Park Zoo WA,20.1,Wild Waves WA,57.5,Mount Rainier NP,47.3,Mt Baker NF WA,ocean,1.4,131.0,8.0,65.0,55.2,Olympic SP WA,37.6,False,False,False,1,25.0,1,1,0,1,1,4,40.0,coastal
Denver,CO,729019,153.1,"Denver, CO",39.739236,-104.984862,3052498.0,,85853.0,540400.0,50.0,10.0,63.6,36.4,85.3,16.4,12.03,58.1,18.4,Denver,2.0,Denver Zoo CO,1.6,Elitch Gardens CO,55.7,Rocky Mountain NP,68.0,Arapaho Roosevelt NF CO,none,810.7,5279.0,8.0,51.0,11.8,Red Rocks Park CO,68.9,True,True,True,4,100.0,1,1,1,1,1,5,50.0,mountains
Oklahoma City,OK,712919,606.2,"Oklahoma City, OK",35.472989,-97.517054,1497821.0,"Oklahoma City, OK MSA",64251.0,196700.0,62.5,16.9,71.7,53.3,90.8,32.9,9.67,45.6,7.3,Oklahoma City,4.7,Oklahoma City Zoo OK,188.9,Six Flags Over Texas TX,262.1,Hot Springs NP,210.5,Ouachita NF AR,none,444.1,1220.0,0.0,0.0,240.0,Palo Duro Canyon SP TX,57.9,True,True,True,4,100.0,0,0,1,0,0,1,10.0,plains
Nashville,TN,704963,475.8,"Nashville, TN",36.162277,-86.774298,2150553.0,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",,,60.7,15.9,69.7,51.8,87.2,34.1,8.32,38.5,6.0,Nashville,7.8,Nashville Zoo TN,135.4,Holiday World IN,79.9,Mammoth Cave NP,145.3,Shawnee NF IL,none,384.0,449.0,3.0,18.5,80.8,Mammoth Cave Area KY,53.1,True,True,True,4,100.0,1,0,0,1,1,3,30.0,plains
Washington,DC,702250,61.1,"Washington, DC",38.895037,-77.036543,6436489.0,,101722.0,705000.0,57.6,14.2,66.3,48.9,85.5,30.4,11.16,53.5,3.0,Reagan Washington,2.5,Smithsonian National Zoo DC,76.4,Kings Dominion VA,81.9,Shenandoah NP,125.3,George Washington NF VA,ocean,28.9,39.0,3.0,39.5,19.0,Patuxent River SP MD,55.1,True,True,True,4,100.0,1,1,1,1,1,5,50.0,coastal
El Paso,TX,681723,258.4,"El Paso, TX",31.7601,-106.487048,879392.0,"El Paso, TX MSA",55710.0,159300.0,65.7,18.7,77.6,53.7,94.6,35.9,11.53,55.4,7.2,El Paso,2.7,El Paso Zoo TX,490.2,SeaWorld San Antonio TX,71.4,White Sands NP,103.1,Lincoln NF NM,none,610.0,3743.0,2.0,29.0,351.4,Palo Duro Canyon SP TX,58.7,False,True,True,2,50.0,0,0,0,0,0,0,0.0,desert
