city,state,population,metro_population,median_household_income,median_home_price,lat,lon,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
Lakewood,CO,155984,3052498.0,82786.0,494100.0,39.7085736,-105.0846694,49.6,9.8,62.7,36.5,85.1,19.3,12.03,58.1,24.1,Denver,7.3,Belleview Children's Farm,5.2,Lakeside Amusement Park,54.1,Rocky Mountain NP,66.5,Arapaho Roosevelt NF CO,none,816.1,5548.0,8.0,56.0,6.2,Red Rocks Park CO,65.8,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,mountains
Springfield,MA,155929,464151.0,47677.0,198500.0,42.1018764,-72.5886727,51.8,11.0,60.8,42.8,82.7,23.5,9.5,44.7,12.3,Hartford Bradley,2.1,The Zoo in Forest Park & Education Center,4.8,Six Flags Hurricane Harbor New England,105.7,Fire Island NS,332.6,Allegheny NF PA,none,63.2,98.0,3.0,21.5,37.9,Mohawk Trail SP MA,59.2,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Sunnyvale,CA,155805,1995484.0,174506.0,1680700.0,37.3688301,-122.036349,61.9,16.6,72.2,51.6,85.1,44.2,13.44,65.5,5.9,San Jose,6.2,Barron Park Donkeys,4.0,California's Great America,65.9,Point Reyes NS,140.6,Eldorado NF CA,ocean,12.8,128.0,4.0,45.0,60.4,Point Lobos SP CA,40.9,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,coastal
Jackson,MS,153701,606178.0,42193.0,104900.0,32.2998686,-90.1830408,65.8,18.8,75.3,56.3,89.2,41.6,6.86,30.8,159.0,New Orleans,2.5,Jackson Zoological Park,64.6,Geyser Falls Water Theme Park,225.3,Hot Springs NP,248.3,Angelina NF TX,none,151.3,308.0,0.0,0.0,210.5,Gulf State Park AL,47.6,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,plains
Killeen,TX,153095,509487.0,57086.0,175400.0,31.1171441,-97.727796,68.5,20.3,77.7,59.2,92.8,43.1,6.95,31.3,63.5,Austin-Bergstrom,36.6,Sweet Eats Adventure Farm & Petting Zoo,1.4,Urban Air Trampoline and Adventure Park,282.3,Padre Island NS,135.4,Sam Houston NF TX,none,229.3,827.0,0.0,4.0,143.9,Lost Maples SP TX,49.7,False,True,True,2.0,50.0,0,0,0,0,1,1,10.0,plains
Hollywood,FL,153067,6457988.0,61958.0,345300.0,26.0112014,-80.1494901,76.5,24.7,82.0,71.0,86.6,63.6,10.47,49.8,4.2,Fort Lauderdale,11.6,Unknown,12.4,Xtreme Action Park,40.4,Biscayne NP,248.0,Ocala NF FL,ocean,14.9,13.0,4.0,48.0,68.1,Jonathan Dickinson SP FL,23.0,False,True,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Murfreesboro,TN,152769,2150553.0,70451.0,327400.0,35.8460396,-86.3921096,61.2,16.2,70.4,51.9,86.8,36.4,8.32,38.5,25.1,Nashville,25.6,Nashville Zoo at Grassmere,79.7,Rocket Garden,93.8,Mammoth Cave NP,163.2,Chattahoochee NF GA,none,395.3,630.0,4.0,24.0,56.6,Fall Creek Falls SP TN,50.4,False,True,True,2.0,50.0,1,0,0,1,1,3,30.0,hills
Pasadena,TX,151950,7796182.0,64698.0,171600.0,29.6910753,-95.2092076,70.3,21.3,77.5,63.0,88.8,49.4,9.08,42.5,22.0,George Bush Houston,11.1,Houston Zoo,10.8,Downtown Aquarium,225.6,Padre Island NS,71.6,Sam Houston NF TX,none,79.0,30.0,1.0,12.5,264.0,Lost Maples SP TX,39.4,False,True,False,1.0,25.0,1,1,1,0,1,4,40.0,plains
Bellevue,WA,151854,4145494.0,149551.0,1139500.0,47.6144219,-122.192337,51.9,11.1,59.2,44.6,74.2,35.0,11.85,57.1,12.6,Seattle-Tacoma,6.8,Cougar Mountain Zoo,10.6,Tukwila Family Fun Center,55.3,Mount Rainier NP,41.8,Mt Baker NF WA,ocean,5.1,141.0,8.0,60.0,57.5,Deception Pass SP WA,39.2,True,False,False,1.0,25.0,1,1,0,1,1,4,40.0,coastal
Pomona,CA,151713,12927614.0,73515.0,524700.0,34.0553813,-117.7517496,66.2,19.0,78.0,54.4,90.8,45.9,12.22,59.1,8.6,Ontario California,16.5,Parnell Storybook Zoo,4.8,Bullwinkle's,107.0,Joshua Tree NP,22.1,Angeles NF CA,ocean,39.9,856.0,5.0,43.5,62.9,Mount San Jacinto SP CA,44.9,False,True,True,2.0,50.0,2,2,2,1,2,9,90.0,coastal
Escondido,CA,151038,3298799.0,77554.0,616400.0,33.1216751,-117.0814849,63.1,17.3,73.4,52.7,82.4,42.9,12.22,59.1,27.5,San Diego,5.3,San Diego Zoo Safari Park,12.2,Boomers,85.6,Joshua Tree NP,25.3,Cleveland NF CA,ocean,19.2,656.0,7.0,59.0,19.9,Torrey Pines SP CA,39.5,False,True,False,1.0,25.0,0,1,0,0,1,2,20.0,coastal
Joliet,IL,150362,9408576.0,84971.0,233800.0,41.5263603,-88.0840212,51.4,10.8,59.8,43.0,81.9,21.4,10.47,49.8,24.9,Midway Chicago,18.1,Phillips Park Zoo,1.7,Haunted Trails,54.1,Indiana Dunes NP,215.4,Huron Manistee NF MI,great_lakes,32.5,541.0,3.0,29.5,50.1,Starved Rock SP IL,60.5,True,True,True,4.0,100.0,1,2,1,1,1,6,60.0,great_lakes
Charleston,SC,150227,869940.0,83891.0,438900.0,32.7884363,-79.9399309,67.3,19.6,74.7,60.0,86.1,46.3,8.05,37.1,9.6,Charleston SC,3.0,Animal Forest,10.8,Charleston Fun Park,84.8,Congaree NP,31.6,Francis Marion NF SC,ocean,2.5,16.0,2.0,48.0,131.8,Cheraw SP SC,39.8,False,True,False,1.0,25.0,0,0,0,0,0,0,0.0,coastal
Mesquite,TX,150108,8344032.0,69649.0,208800.0,32.7666103,-96.599472,66.7,19.3,75.3,58.1,91.1,41.1,9.08,42.5,15.7,Dallas Love Field,9.4,Texas Discovery Gardens,4.1,Celebration Station,238.0,Hot Springs NP,156.4,Sam Houston NF TX,none,259.4,509.0,0.0,2.0,270.7,Lost Maples SP TX,50.0,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,plains
Naperville,IL,149540,9408576.0,143754.0,482600.0,41.7728699,-88.1479278,50.7,10.4,59.2,42.2,81.9,20.4,11.94,57.6,18.6,O'Hare Chicago,7.4,Cosley Zoo,12.4,Blackberry Farm,57.2,Indiana Dunes NP,204.2,Huron Manistee NF MI,great_lakes,32.3,689.0,3.0,29.5,54.9,Starved Rock SP IL,61.5,True,True,True,4.0,100.0,1,2,1,1,1,6,60.0,great_lakes
Rockford,IL,148655,337103.0,50744.0,114100.0,42.2713945,-89.093966,49.8,9.9,58.4,41.2,82.3,17.6,7.08,32.0,64.3,O'Hare Chicago,13.6,Summerfield Zoo,3.2,Alpine Hills Adventure Park,113.5,Indiana Dunes NP,217.3,Huron Manistee NF MI,none,68.1,735.0,2.0,17.0,67.2,Starved Rock SP IL,64.7,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Bridgeport,CT,148654,972679.0,54440.0,227200.0,41.1792695,-73.1887863,53.5,11.9,60.5,46.5,80.0,28.4,10.34,49.2,45.3,LaGuardia New York,2.2,Beardsley Zoological Gardens,24.1,Quassy Amusement Park,37.7,Fire Island NS,303.3,Allegheny NF PA,none,53.8,46.0,5.0,34.5,47.5,Harriman State Park NY,51.6,True,True,True,4.0,100.0,2,2,2,2,2,10,100.0,plains
Syracuse,NY,148620,655189.0,43584.0,117900.0,43.0481221,-76.1474244,49.8,9.9,58.0,41.7,79.5,21.6,10.27,48.8,120.8,Albany,1.7,Rosamond Gifford Zoo at Burnet Park,23.5,Sylvan Beach Amusement Park,226.9,Fire Island NS,177.0,Allegheny NF PA,great_lakes,35.9,413.0,2.0,19.0,58.9,Watkins Glen SP NY,57.9,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,great_lakes
Savannah,GA,147780,431589.0,54748.0,203300.0,32.0790074,-81.0921335,68.4,20.2,76.7,60.1,88.1,46.7,10.59,50.5,7.3,Savannah,0.4,"E. Shaver, Bookseller",8.3,5 Star Family Fun Park,119.6,Congaree NP,112.0,Francis Marion NF SC,none,69.9,56.0,0.0,10.0,181.1,Ichetucknee Springs SP FL,41.4,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,lowlands
Roseville,CA,147773,2463127.0,112265.0,596700.0,38.7521235,-121.2880059,63.6,17.6,76.2,51.0,96.2,40.0,11.83,57.0,16.8,Sacramento,8.1,Folsom City Zoo Sanctuary,7.7,Scandia Fun Center,99.1,Point Reyes NS,56.8,Tahoe NF CA,none,88.3,177.0,5.0,37.5,78.5,Lake Tahoe NV SP,56.2,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,valley
Torrance,CA,147067,12927614.0,109554.0,962300.0,33.8371392,-118.3413606,62.7,17.1,70.1,55.2,75.4,47.1,12.22,59.1,8.2,Los Angeles,19.0,Montebello Barnyard Zoo,1.4,Southern California Live Steamers,83.4,Channel Islands NP,37.4,Angeles NF CA,ocean,9.7,95.0,5.0,51.5,88.3,Torrey Pines SP CA,28.3,False,False,False,1.0,25.0,2,2,2,1,2,9,90.0,coastal
Fullerton,CA,143617,12927614.0,99279.0,791000.0,33.8708215,-117.929416,65.5,18.6,75.6,55.4,84.0,47.5,12.22,59.1,13.3,Long Beach,6.2,Parnell Storybook Zoo,4.3,Knott's Soak City,106.6,Channel Islands NP,29.9,Angeles NF CA,ocean,24.4,171.0,5.0,42.5,70.9,Mount San Jacinto SP CA,36.5,False,True,False,1.0,25.0,2,2,2,1,2,9,90.0,coastal
Surprise,AZ,143148,5186958.0,87756.0,352600.0,33.629247,-112.3681428,74.3,23.5,86.0,62.6,105.0,44.2,10.1,47.9,24.6,Phoenix Sky Harbor,6.0,Children's Petting Zoo,9.6,Mattel Adventure Park,121.9,Saguaro NP,60.5,Prescott NF AZ,none,287.3,1220.0,2.0,15.0,231.9,Valley of Fire SP NV,60.8,False,True,True,2.0,50.0,0,1,1,0,0,2,20.0,desert
McAllen,TX,142210,914820.0,56326.0,158700.0,26.204114,-98.2300605,77.0,25.0,86.0,68.1,95.2,56.0,7.18,32.5,2.0,McAllen,8.8,National Butterfly Center,50.1,Bobz World,77.9,Padre Island NS,351.3,Sam Houston NF TX,none,64.4,128.0,1.0,15.5,250.5,Garner SP TX,39.2,False,True,False,1.0,25.0,0,0,0,0,0,0,0.0,plains
Thornton,CO,141867,3052498.0,95064.0,445200.0,39.8695516,-104.985181,50.5,10.3,63.3,37.6,87.0,19.1,10.53,50.2,16.6,Denver,4.5,Butterfly Pavilion,0.6,Malibu Jack's,49.3,Rocky Mountain NP,61.2,Arapaho Roosevelt NF CO,none,804.8,5430.0,7.0,55.0,16.4,Red Rocks Park CO,67.9,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,mountains
Visalia,CA,141384,483546.0,75658.0,316600.0,36.3302284,-119.292058,68.2,20.1,81.3,55.0,103.4,39.8,7.36,33.5,38.8,Fresno Yosemite,13.5,Unknown,3.4,Adventure Park,41.9,Sequoia NP,60.0,Sierra NF CA,none,110.7,338.0,5.0,44.5,140.0,Big Sur CA,63.6,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,valley
Olathe,KS,141290,2253579.0,108077.0,317900.0,38.8838856,-94.81887,56.1,13.4,64.7,47.6,85.9,25.8,8.61,40.1,29.1,Kansas City,16.1,KC Ren Faire Petting Zoo,16.0,Kansas City Renaissance Festival,250.9,Gateway Arch NP,215.1,Mark Twain NF MO,none,432.6,1030.0,0.0,0.0,347.0,Effigy Mounds IA,60.1,True,True,True,4.0,100.0,1,1,0,0,1,3,30.0,plains
Gainesville,FL,141085,359780.0,43783.0,216600.0,29.6519684,-82.3249846,71.3,21.8,80.4,62.3,88.7,50.5,8.06,37.2,69.4,Jacksonville,7.1,Santa Fe Teaching Zoo,6.2,Skate Station,299.5,Congaree NP,39.9,Ocala NF FL,none,60.3,194.0,2.0,25.0,33.3,Ichetucknee Springs SP FL,38.2,False,True,False,1.0,25.0,0,0,0,0,0,0,0.0,lowlands
West Valley City,UT,140230,1300762.0,81719.0,333600.0,40.6967891,-111.9866954,53.9,12.2,64.7,43.1,90.5,24.9,11.0,52.6,6.4,Salt Lake City,6.7,Tracy Aviary,6.8,Richochet Canyon Amusement Park,170.6,Great Basin NP,36.1,Wasatch Cache NF UT,none,584.3,4275.0,4.0,35.0,30.0,Antelope Island SP UT,65.6,True,True,True,4.0,100.0,0,0,1,1,1,3,30.0,mountains
Orange,CA,139911,12927614.0,109335.0,848200.0,33.7872568,-117.850308,65.2,18.4,75.2,55.2,82.9,47.8,5.6,24.2,5.2,John Wayne Orange County,1.8,Santa Ana Zoo at Prentice Park,4.8,Disney California Adventure,111.8,Channel Islands NP,36.4,Angeles NF CA,ocean,26.6,200.0,6.0,44.0,66.2,Mount San Jacinto SP CA,35.1,False,True,False,1.0,25.0,2,2,2,1,2,9,90.0,coastal
Denton,TX,139869,8344032.0,71921.0,296100.0,33.215038,-97.1330431,65.7,18.7,74.6,56.9,90.8,39.6,11.5,55.3,20.4,Dallas/Fort Worth,30.1,Frank Buck Zoo,16.0,LEGOLAND Discovery Center Dallas/Fort Worth,251.8,Hot Springs NP,198.1,Sam Houston NF TX,none,302.9,656.0,0.0,2.0,276.7,Lost Maples SP TX,51.2,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,plains
Warren,MI,139387,4400578.0,61633.0,169300.0,42.4932575,-83.0062746,50.6,10.3,58.9,42.3,81.6,22.9,8.65,40.3,26.2,Detroit Metro,10.3,Belle Isle Nature Center,10.8,C.J. Barrymore's,111.8,Cuyahoga Valley NP,163.3,Huron Manistee NF MI,great_lakes,46.6,630.0,0.0,16.0,150.2,Presque Isle SP PA,58.7,True,True,True,4.0,100.0,1,1,1,1,0,4,40.0,great_lakes
Pasadena,CA,138699,12927614.0,97818.0,981600.0,34.1476507,-118.144155,65.2,18.4,76.4,54.0,87.5,45.6,12.22,59.1,12.8,Burbank Hollywood,8.3,Los Angeles Zoo,12.1,Universal Studios Hollywood,94.2,Channel Islands NP,13.4,Angeles NF CA,ocean,22.8,876.0,5.0,53.5,86.3,Mount San Jacinto SP CA,41.9,False,True,True,2.0,50.0,1,1,1,0,1,4,40.0,coastal
Waco,TX,138486,307123.0,47421.0,174100.0,31.5491899,-97.1474628,68.9,20.5,78.0,59.8,93.7,43.5,6.93,31.2,91.1,Dallas Love Field,1.5,Cameron Park Zoo,46.8,Urban Air Trampoline and Adventure Park,311.5,Padre Island NS,113.8,Sam Houston NF TX,none,227.8,486.0,0.0,2.0,189.3,Lost Maples SP TX,50.2,False,True,True,2.0,50.0,0,0,0,0,1,1,10.0,plains
Cedar Rapids,IA,137710,278677.0,66895.0,167900.0,41.9758872,-91.6704053,49.8,9.9,58.2,41.4,82.3,15.7,10.38,49.4,107.4,Des Moines,2.4,Petting Zoo,45.7,Ara Matua,239.4,Indiana Dunes NP,276.9,Nicolet NF WI,none,201.8,702.0,1.0,3.5,81.2,Effigy Mounds IA,66.6,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Dayton,OH,137644,821740.0,41443.0,86200.0,39.7589478,-84.1916069,54.4,12.4,63.0,45.7,83.0,26.3,9.93,47.0,10.0,Dayton,8.0,Unknown,28.9,Kings Island,173.5,Cuyahoga Valley NP,147.2,Wayne NF OH,none,143.5,748.0,0.0,7.0,198.7,Indiana Dunes SP IN,56.7,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Elizabeth,NJ,137298,19940274.0,59939.0,358400.0,40.6639916,-74.2107006,54.8,12.7,62.7,47.0,82.6,28.4,5.72,24.8,2.6,Newark Liberty,5.6,Kids Korral,12.3,Nickelodeon Universe,55.0,Fire Island NS,258.1,Allegheny NF PA,ocean,11.3,23.0,7.0,40.0,37.4,Harriman State Park NY,54.2,True,True,True,4.0,100.0,2,2,2,2,2,10,100.0,coastal
Hampton,VA,137148,1794278.0,64430.0,219800.0,37.0264414,-76.3442846,62.3,16.8,68.9,55.7,85.5,38.6,8.98,42.0,20.5,Norfolk,8.1,Peninsula SPCA Petting Zoo,21.8,Busch Gardens Williamsburg,95.5,Assateague Island NS,191.1,George Washington NF VA,ocean,9.1,16.0,2.0,32.0,97.1,Assateague SP MD,46.9,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,coastal
Columbia,SC,136632,870193.0,54095.0,226200.0,34.000754,-81.0352313,65.5,18.6,75.0,56.0,88.9,41.2,10.41,49.5,83.8,Charlotte Douglas,27.0,Eudora Wildlife Safari Park,9.0,Frankie's Fun Park,20.3,Congaree NP,65.1,Sumter NF SC,none,105.6,292.0,4.0,37.0,80.8,Cheraw SP SC,47.7,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,lowlands
Kent,WA,136588,4145494.0,86966.0,478400.0,47.3826903,-122.2270272,52.0,11.1,59.5,44.5,74.9,35.5,8.7,40.5,6.0,Seattle-Tacoma,13.6,Cougar Mountain Zoo,5.8,Tukwila Family Fun Center,42.0,Mount Rainier NP,54.5,Mt Baker NF WA,ocean,8.2,43.0,8.0,62.0,60.2,Olympic SP WA,39.4,False,False,False,1.0,25.0,1,1,0,1,1,4,40.0,coastal
Stamford,CT,135470,972679.0,100718.0,584700.0,41.0534302,-73.5387341,53.5,11.9,61.1,45.9,81.4,27.7,10.34,49.2,25.9,LaGuardia New York,8.3,Unknown,9.3,Rye Playland,35.0,Fire Island NS,286.5,Allegheny NF PA,ocean,34.3,49.0,6.0,41.0,31.0,Harriman State Park NY,53.7,True,True,True,4.0,100.0,2,2,2,2,2,10,100.0,coastal
Lakewood,NJ,135158,19940274.0,54826.0,604600.0,40.0940995,-74.2149889,56.1,13.4,64.3,48.0,84.0,29.9,12.03,58.1,41.1,Newark Liberty,9.1,Michael J. Tighe Park,9.4,Jenkinson's South Amusement Park,66.7,Fire Island NS,271.4,Allegheny NF PA,ocean,14.7,75.0,6.0,43.0,74.9,Delaware Water Gap NRA,54.1,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,coastal
Victorville,CA,134810,4744214.0,65746.0,300600.0,34.5361067,-117.2911565,64.1,17.8,75.4,52.8,94.6,38.8,12.22,59.1,37.5,Ontario California,25.6,Petting Zoo,4.7,Scandia Family Fun Center,91.8,Joshua Tree NP,36.4,San Bernardino NF CA,none,78.4,2717.0,5.0,50.5,61.0,Mount San Jacinto SP CA,55.8,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,desert
Miramar,FL,134721,6457988.0,81812.0,378200.0,25.9873137,-80.2322706,76.3,24.6,83.1,69.5,87.7,61.8,10.47,49.8,7.7,Fort Lauderdale,7.5,Unknown,14.3,Jungle Island,36.9,Biscayne NP,247.5,Ocala NF FL,ocean,15.3,7.0,4.0,48.0,70.2,Jonathan Dickinson SP FL,25.9,False,True,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Coral Springs,FL,134394,6457988.0,87488.0,453100.0,26.271192,-80.2706044,76.4,24.7,83.8,69.1,88.5,61.4,10.47,49.8,15.5,Fort Lauderdale,1.5,Sawgrass Nature Center,9.1,Xtreme Action Park,55.2,Biscayne NP,228.6,Ocala NF FL,ocean,33.9,16.0,4.0,34.0,51.3,Jonathan Dickinson SP FL,27.1,False,True,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Sterling Heights,MI,134346,4400578.0,75381.0,243400.0,42.5803122,-83.0302033,50.6,10.3,58.9,42.4,81.5,22.9,6.74,30.2,30.1,Detroit Metro,16.5,Belle Isle Nature Center,7.6,C.J. Barrymore's,117.1,Cuyahoga Valley NP,158.5,Huron Manistee NF MI,great_lakes,43.2,617.0,0.0,16.0,152.2,Presque Isle SP PA,58.6,True,True,True,4.0,100.0,1,1,1,1,0,4,40.0,great_lakes
New Haven,CT,134023,576718.0,54305.0,236500.0,41.3082138,-72.9250518,53.0,11.7,60.4,45.6,80.0,27.5,11.23,53.8,45.3,Hartford Bradley,15.0,Beardsley Zoological Gardens,19.1,Quassy Amusement Park,48.3,Fire Island NS,316.0,Allegheny NF PA,ocean,48.1,46.0,4.0,38.0,61.6,Harriman State Park NY,52.5,True,True,True,4.0,100.0,2,2,2,2,2,10,100.0,coastal
Carrollton,TX,133434,8344032.0,95380.0,327300.0,32.9515472,-96.9034244,66.8,19.3,75.6,57.9,91.8,40.7,7.47,34.1,7.8,Dallas Love Field,14.7,Texas Discovery Gardens,8.2,LEGOLAND Discovery Center Dallas/Fort Worth,247.2,Hot Springs NP,175.7,Sam Houston NF TX,none,280.4,463.0,0.0,2.0,269.3,Lost Maples SP TX,51.1,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,plains
Midland,TX,132524,188766.0,90448.0,280700.0,31.9973662,-102.077948,66.2,19.0,77.7,54.8,94.2,37.2,7.3,33.2,126.4,Lubbock,112.0,Unknown,119.4,Adventure Park,145.8,Carlsbad Caverns NP,211.4,Lincoln NF NM,none,402.9,2792.0,0.0,8.0,201.2,Palo Duro Canyon SP TX,57.0,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,plains
Norman,OK,128026,1497821.0,62849.0,224900.0,35.2225717,-97.4394816,62.3,16.8,71.6,53.1,90.2,33.7,8.24,38.1,14.9,Oklahoma City,17.9,By His Hands Mini Farm,5.7,Heyday,254.4,Hot Springs NP,201.7,Ouachita NF AR,none,426.9,1175.0,0.0,0.0,242.5,Palo Duro Canyon SP TX,56.5,True,True,True,4.0,100.0,0,0,1,0,0,1,10.0,plains
Santa Clara,CA,127647,1995484.0,165352.0,1440200.0,37.3541132,-121.955174,62.1,16.7,72.4,51.7,84.5,44.0,13.44,65.5,1.6,San Jose,5.4,Happy Hollow Park and Zoo,3.0,California's Great America,69.8,Point Reyes NS,138.2,Eldorado NF CA,ocean,16.8,75.0,4.0,45.0,59.0,Point Lobos SP CA,40.5,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,coastal
Athens,GA,127315,223689.0,,,33.9597677,-83.376398,63.6,17.6,72.9,54.2,87.9,39.4,6.42,28.5,64.4,Hartsfield-Jackson Atlanta,2.4,Bear Hollow Zoo,64.9,Enota Mountain Retreat,114.1,Great Smoky Mountains NP,62.8,Chattahoochee NF GA,none,216.3,774.0,4.0,27.0,48.6,Stone Mountain SP GA,48.5,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,plains
Thousand Oaks,CA,126966,835427.0,125399.0,900600.0,34.1705609,-118.8375937,64.6,18.1,74.2,55.1,84.3,46.6,11.69,56.3,27.5,Burbank Hollywood,9.0,America's Teaching Zoo,22.3,Six Flags Magic Mountain,55.1,Channel Islands NP,48.8,Angeles NF CA,ocean,22.6,892.0,2.0,38.0,124.7,Torrey Pines SP CA,37.7,False,True,False,1.0,25.0,2,2,2,1,2,9,90.0,coastal
Topeka,KS,126587,232648.0,54052.0,124700.0,39.049011,-95.677556,56.4,13.6,65.4,47.4,86.9,25.2,9.53,44.9,54.5,Kansas City,2.6,Topeka Zoo,43.4,Kansas City Renaissance Festival,297.7,Gateway Arch NP,260.9,Mark Twain NF MO,none,468.4,945.0,0.0,0.0,364.3,Effigy Mounds IA,61.7,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Simi Valley,CA,126356,835427.0,112144.0,704200.0,34.2677404,-118.7538071,66.6,19.2,77.2,56.0,88.9,47.1,12.22,59.1,23.1,Burbank Hollywood,5.4,America's Teaching Zoo,14.1,Six Flags Magic Mountain,61.4,Channel Islands NP,43.2,Angeles NF CA,ocean,23.5,866.0,2.0,38.0,122.2,Mount San Jacinto SP CA,41.8,False,True,True,2.0,50.0,2,2,2,1,2,9,90.0,coastal
Columbia,MO,126254,219426.0,60455.0,248600.0,38.951883,-92.3337366,56.2,13.4,65.3,47.2,86.0,26.0,10.41,49.5,106.8,St. Louis Lambert,71.7,Big Joel's Safari,4.6,Midway Golf and Games,118.2,Gateway Arch NP,129.1,Mark Twain NF MO,none,317.9,709.0,0.0,7.0,239.6,Starved Rock SP IL,60.0,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,hills
Vallejo,CA,126090,455101.0,86112.0,515500.0,38.1040864,-122.2566367,59.8,15.4,68.7,50.9,78.2,43.4,12.22,59.1,34.0,San Francisco,2.7,Tava's Jungleland,2.6,Seaside Junction,34.2,Point Reyes NS,121.4,Eldorado NF CA,ocean,19.4,79.0,2.0,50.0,66.2,Salt Point SP CA,34.8,False,True,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Fargo,ND,125990,267793.0,64432.0,254900.0,46.877229,-96.789821,43.5,6.4,52.7,34.4,81.8,5.1,11.74,56.5,3.2,Fargo,3.7,Red River Zoo,3.7,Thunder Road Family Fun Park,215.6,Voyageurs NP,133.6,Chippewa NF MN,none,222.3,909.0,1.0,5.5,78.3,Itasca SP MN,76.7,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Allentown,PA,125845,886418.0,52449.0,168800.0,40.6022552,-75.4716115,53.6,12.0,62.4,44.9,82.9,26.7,11.33,54.4,51.7,Philadelphia,9.0,Lehigh Valley Zoo,3.6,Dorney Park,121.3,Fire Island NS,196.6,Allegheny NF PA,none,77.6,367.0,7.0,30.0,28.3,Hickory Run SP PA,56.2,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,plains
Pearland,TX,125828,7796182.0,111123.0,311100.0,29.5639758,-95.2864299,70.4,21.3,77.8,63.0,88.9,49.6,9.08,42.5,29.5,George Bush Houston,11.4,Bayou Safari Wildlife Park,14.7,Downtown Aquarium,215.8,Padre Island NS,79.3,Sam Houston NF TX,none,85.0,49.0,1.0,12.5,259.9,Lost Maples SP TX,39.3,False,True,False,1.0,25.0,1,1,1,0,1,4,40.0,plains
Concord,CA,125410,4648486.0,107789.0,706700.0,37.9768525,-122.0335624,60.8,16.0,71.0,50.5,82.7,43.1,8.22,38.0,31.0,San Francisco,15.8,Tava's Jungleland,1.1,Pixieland Amusement Park,46.5,Point Reyes NS,114.6,Eldorado NF CA,ocean,23.5,85.0,2.0,41.0,81.2,Salt Point SP CA,39.6,False,True,False,1.0,25.0,1,0,1,0,1,3,30.0,coastal
Abilene,TX,125182,184278.0,59254.0,161800.0,32.44645,-99.7475905,67.1,19.5,77.6,56.6,94.4,38.5,7.32,33.3,146.8,Lubbock,3.3,The Abilene Zoo,114.2,Dinosaur World,282.2,Carlsbad Caverns NP,277.9,Sam Houston NF TX,none,349.5,1742.0,0.0,2.0,182.5,Lost Maples SP TX,55.9,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,plains
Arvada,CO,124402,3052498.0,106014.0,553000.0,39.8005505,-105.0811573,50.1,10.1,63.2,37.0,86.9,18.4,7.01,31.6,22.0,Denver,6.0,Butterfly Pavilion,2.0,Lakeside Amusement Park,49.2,Rocky Mountain NP,61.5,Arapaho Roosevelt NF CO,none,811.8,5344.0,8.0,64.0,9.4,Red Rocks Park CO,68.5,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,mountains
